[2024-12-07 07:43:08] Strategy: GeneTrader_gen1_1733528553_4623, Timeframe: 5m, Generation: 1, Total Profit %: 0.1131, Profit Score: 0.0565, Win Rate: 0.9240, Win Rate Score: 0.5597, Sharpe Ratio: 71.5900, Sortino Ratio: 41.9500, Profit Factor: 7.2900, Risk-Adjusted Score: 0.9969, Max Drawdown: 0.0105, Drawdown Penalty: 0.9690, Daily Avg Trades: 5.08, Trade Frequency Score: 0.7319, Avg Trade Duration (min): 311.00, Duration Score: 0.8510, Final Fitness: 0.0316
[2024-12-07 07:43:23] Strategy: GeneTrader_gen1_1733528553_6834, Timeframe: 5m, Generation: 1, Total Profit %: 0.4749, Profit Score: 0.2331, Win Rate: 0.9340, Win Rate Score: 0.5842, Sharpe Ratio: 78.1600, Sortino Ratio: 36.1900, Profit Factor: 3.5800, Risk-Adjusted Score: 0.9663, Max Drawdown: 0.0665, Drawdown Penalty: 0.8191, Daily Avg Trades: 10.54, Trade Frequency Score: 0.0020, Avg Trade Duration (min): 150.00, Duration Score: 0.7310, Final Fitness: 0.1362
[2024-12-07 07:43:37] Strategy: GeneTrader_gen1_1733528553_8253, Timeframe: 5m, Generation: 1, Total Profit %: 0.9843, Profit Score: 0.4559, Win Rate: 0.9810, Win Rate Score: 0.6921, Sharpe Ratio: 166.1300, Sortino Ratio: 160.3800, Profit Factor: 9.7300, Risk-Adjusted Score: 0.9994, Max Drawdown: 0.0537, Drawdown Penalty: 0.8512, Daily Avg Trades: 12.15, Trade Frequency Score: 0.0001, Avg Trade Duration (min): 294.00, Duration Score: 0.8394, Final Fitness: 0.3155
[2024-12-07 07:44:03] Strategy: GeneTrader_gen1_1733528617_7020, Timeframe: 5m, Generation: 1, Total Profit %: 0.1638, Profit Score: 0.0817, Win Rate: 0.9790, Win Rate Score: 0.6878, Sharpe Ratio: 76.9400, Sortino Ratio: 0.0000, Profit Factor: 21.9400, Risk-Adjusted Score: 0.6000, Max Drawdown: 0.0072, Drawdown Penalty: 0.9786, Daily Avg Trades: 3.62, Trade Frequency Score: 0.9982, Avg Trade Duration (min): 138.00, Duration Score: 0.7213, Final Fitness: 0.0562
[2024-12-07 07:44:14] Strategy: GeneTrader_gen1_1733528553_9050, Timeframe: 5m, Generation: 1, Total Profit %: 0.1062, Profit Score: 0.0531, Win Rate: 0.8910, Win Rate Score: 0.4775, Sharpe Ratio: 16.3100, Sortino Ratio: 8.4400, Profit Factor: 2.0000, Risk-Adjusted Score: 0.9164, Max Drawdown: 0.0487, Drawdown Penalty: 0.8641, Daily Avg Trades: 4.23, Trade Frequency Score: 0.9356, Avg Trade Duration (min): 549.00, Duration Score: 0.9722, Final Fitness: 0.0253
[2024-12-07 07:44:35] Strategy: GeneTrader_gen1_1733528553_5412, Timeframe: 5m, Generation: 1, Total Profit %: 0.3080, Profit Score: 0.1528, Win Rate: 0.8610, Win Rate Score: 0.4037, Sharpe Ratio: 106.6100, Sortino Ratio: 68.6900, Profit Factor: 3.2700, Risk-Adjusted Score: 0.9594, Max Drawdown: 0.0372, Drawdown Penalty: 0.8944, Daily Avg Trades: 13.31, Trade Frequency Score: 0.0000, Avg Trade Duration (min): 301.00, Duration Score: 0.8442, Final Fitness: 0.0617
[2024-12-07 07:44:56] Strategy: GeneTrader_gen1_1733528643_6689, Timeframe: 5m, Generation: 1, Total Profit %: 0.2788, Profit Score: 0.1385, Win Rate: 0.9170, Win Rate Score: 0.5424, Sharpe Ratio: 106.2600, Sortino Ratio: 75.1100, Profit Factor: 5.5600, Risk-Adjusted Score: 0.9904, Max Drawdown: 0.0129, Drawdown Penalty: 0.9620, Daily Avg Trades: 9.31, Trade Frequency Score: 0.0147, Avg Trade Duration (min): 170.00, Duration Score: 0.7469, Final Fitness: 0.0751
[2024-12-07 07:44:58] Strategy: GeneTrader_gen1_1733528588_1489, Timeframe: 5m, Generation: 1, Total Profit %: 0.1641, Profit Score: 0.0819, Win Rate: 0.9290, Win Rate Score: 0.5720, Sharpe Ratio: 28.4500, Sortino Ratio: 13.4800, Profit Factor: 4.3200, Risk-Adjusted Score: 0.9787, Max Drawdown: 0.0408, Drawdown Penalty: 0.8848, Daily Avg Trades: 3.23, Trade Frequency Score: 0.9909, Avg Trade Duration (min): 1498.00, Duration Score: 0.5578, Final Fitness: 0.0468
[2024-12-07 07:45:16] Strategy: GeneTrader_gen1_1733528675_4169, Timeframe: 5m, Generation: 1, Total Profit %: 0.0808, Profit Score: 0.0404, Win Rate: 0.9060, Win Rate Score: 0.5150, Sharpe Ratio: 27.0300, Sortino Ratio: 14.4300, Profit Factor: 3.1600, Risk-Adjusted Score: 0.9566, Max Drawdown: 0.0263, Drawdown Penalty: 0.9241, Daily Avg Trades: 4.08, Trade Frequency Score: 0.9588, Avg Trade Duration (min): 172.00, Duration Score: 0.7485, Final Fitness: 0.0208
[2024-12-07 07:45:25] Strategy: GeneTrader_gen1_1733528654_6325, Timeframe: 5m, Generation: 1, Total Profit %: 0.3085, Profit Score: 0.1530, Win Rate: 0.9720, Win Rate Score: 0.6726, Sharpe Ratio: 220.4600, Sortino Ratio: 191.1400, Profit Factor: 6.1700, Risk-Adjusted Score: 0.9936, Max Drawdown: 0.0336, Drawdown Penalty: 0.9041, Daily Avg Trades: 16.77, Trade Frequency Score: 0.0000, Avg Trade Duration (min): 162.00, Duration Score: 0.7406, Final Fitness: 0.1029
[2024-12-07 07:45:25] Strategy: GeneTrader_gen1_1733528696_7538, Timeframe: 5m, Generation: 1, Total Profit %: 0.1141, Profit Score: 0.0570, Win Rate: 0.9800, Win Rate Score: 0.6900, Sharpe Ratio: 76.9100, Sortino Ratio: 0.0000, Profit Factor: 14.6200, Risk-Adjusted Score: 0.6000, Max Drawdown: 0.0081, Drawdown Penalty: 0.9760, Daily Avg Trades: 3.92, Trade Frequency Score: 0.9782, Avg Trade Duration (min): 93.00, Duration Score: 0.6844, Final Fitness: 0.0393
