[2024-12-11 19:41:14] Strategy: GeneTrader_gen1_1733917125_2175, Timeframe: 5m, Generation: 1, Total Profit %: 0.2068, Profit Score: 0.1030, Win Rate: 0.8670, Win Rate Score: 0.4182, Sharpe Ratio: 21.6300, Sortino Ratio: 1440.8400, Profit Factor: 17.4200, Risk-Adjusted Score: 1.0000, Max Drawdown: 0.0103, Drawdown Penalty: 0.9696, Daily Avg Trades: 1.07, Trade Frequency Score: 0.4780, Avg Trade Duration (min): 754.00, Duration Score: 0.9989, Final Fitness: 0.0431
[2024-12-11 19:41:18] Strategy: GeneTrader_gen1_1733917125_3573, Timeframe: 5m, Generation: 1, Total Profit %: 0.0948, Profit Score: 0.0474, Win Rate: 0.8950, Win Rate Score: 0.4875, Sharpe Ratio: 3.4700, Sortino Ratio: 1.8400, Profit Factor: 1.6200, Risk-Adjusted Score: 0.7648, Max Drawdown: 0.1230, Drawdown Penalty: 0.6914, Daily Avg Trades: 1.36, Trade Frequency Score: 0.5641, Avg Trade Duration (min): 587.00, Duration Score: 0.9831, Final Fitness: 0.0231
[2024-12-11 19:41:22] Strategy: GeneTrader_gen1_1733917125_9896, Timeframe: 5m, Generation: 1, Total Profit %: 0.0212, Profit Score: 0.0106, Win Rate: 0.7810, Win Rate Score: 0.2333, Sharpe Ratio: 3.7300, Sortino Ratio: 2.6200, Profit Factor: 1.3200, Risk-Adjusted Score: 0.8097, Max Drawdown: 0.0610, Drawdown Penalty: 0.8328, Daily Avg Trades: 2.29, Trade Frequency Score: 0.8328, Avg Trade Duration (min): 535.00, Duration Score: 0.9675, Final Fitness: 0.0025
[2024-12-11 19:41:27] Strategy: GeneTrader_gen1_1733917125_1409, Timeframe: 5m, Generation: 1, Total Profit %: 0.0054, Profit Score: 0.0027, Win Rate: 0.8060, Win Rate Score: 0.2809, Sharpe Ratio: 0.9100, Sortino Ratio: 0.6200, Profit Factor: 1.0600, Risk-Adjusted Score: 0.3584, Max Drawdown: 0.0760, Drawdown Penalty: 0.7961, Daily Avg Trades: 2.57, Trade Frequency Score: 0.8975, Avg Trade Duration (min): 519.00, Duration Score: 0.9618, Final Fitness: 0.0008
[2024-12-11 19:41:30] Strategy: GeneTrader_gen1_1733917125_1443, Timeframe: 5m, Generation: 1, Total Profit %: 0.0275, Profit Score: 0.0137, Win Rate: 0.8440, Win Rate Score: 0.3635, Sharpe Ratio: 5.6900, Sortino Ratio: 3.5400, Profit Factor: 1.3700, Risk-Adjusted Score: 0.8602, Max Drawdown: 0.0670, Drawdown Penalty: 0.8179, Daily Avg Trades: 3.21, Trade Frequency Score: 0.9895, Avg Trade Duration (min): 415.00, Duration Score: 0.9142, Final Fitness: 0.0050
[2024-12-11 19:41:59] Strategy: GeneTrader_gen1_1733917125_8963, Timeframe: 5m, Generation: 1, Total Profit %: 0.1086, Profit Score: 0.0542, Win Rate: 0.8890, Win Rate Score: 0.4725, Sharpe Ratio: 9.7100, Sortino Ratio: 5.0900, Profit Factor: 2.3400, Risk-Adjusted Score: 0.9256, Max Drawdown: 0.0603, Drawdown Penalty: 0.8345, Daily Avg Trades: 1.93, Trade Frequency Score: 0.7348, Avg Trade Duration (min): 941.00, Duration Score: 0.9540, Final Fitness: 0.0256
[2024-12-11 19:43:46] Strategy: GeneTrader_gen1_1733917274_3284, Timeframe: 5m, Generation: 1, Total Profit %: 0.1734, Profit Score: 0.0865, Win Rate: 0.8570, Win Rate Score: 0.3941, Sharpe Ratio: 19.1700, Sortino Ratio: 857.3200, Profit Factor: 14.9400, Risk-Adjusted Score: 1.0000, Max Drawdown: 0.0105, Drawdown Penalty: 0.9690, Daily Avg Trades: 1.00, Trade Frequency Score: 0.4578, Avg Trade Duration (min): 814.00, Duration Score: 0.9915, Final Fitness: 0.0341
[2024-12-11 19:44:18] Strategy: GeneTrader_gen1_1733917290_8246, Timeframe: 5m, Generation: 1, Total Profit %: 0.0091, Profit Score: 0.0045, Win Rate: 0.8110, Win Rate Score: 0.2911, Sharpe Ratio: 1.5500, Sortino Ratio: 1.0500, Profit Factor: 1.1100, Risk-Adjusted Score: 0.5233, Max Drawdown: 0.0759, Drawdown Penalty: 0.7964, Daily Avg Trades: 2.64, Trade Frequency Score: 0.9117, Avg Trade Duration (min): 508.00, Duration Score: 0.9576, Final Fitness: 0.0013
[2024-12-11 19:44:20] Strategy: GeneTrader_gen1_1733917287_5385, Timeframe: 5m, Generation: 1, Total Profit %: 0.0307, Profit Score: 0.0153, Win Rate: 0.8750, Win Rate Score: 0.4378, Sharpe Ratio: 6.5100, Sortino Ratio: 3.8400, Profit Factor: 1.4200, Risk-Adjusted Score: 0.8702, Max Drawdown: 0.0666, Drawdown Penalty: 0.8189, Daily Avg Trades: 3.43, Trade Frequency Score: 0.9994, Avg Trade Duration (min): 402.00, Duration Score: 0.9071, Final Fitness: 0.0067
[2024-12-11 19:44:28] Strategy: GeneTrader_gen1_1733917278_6661, Timeframe: 5m, Generation: 1, Total Profit %: 0.1255, Profit Score: 0.0627, Win Rate: 0.8670, Win Rate Score: 0.4182, Sharpe Ratio: 20.4900, Sortino Ratio: 43.0800, Profit Factor: 11.6600, Risk-Adjusted Score: 0.9998, Max Drawdown: 0.0087, Drawdown Penalty: 0.9742, Daily Avg Trades: 1.07, Trade Frequency Score: 0.4780, Avg Trade Duration (min): 1665.00, Duration Score: 0.4226, Final Fitness: 0.0262
[2024-12-11 19:44:40] Strategy: GeneTrader_gen1_1733917319_3999, Timeframe: 5m, Generation: 1, Total Profit %: 0.0304, Profit Score: 0.0152, Win Rate: 0.8180, Win Rate Score: 0.3058, Sharpe Ratio: 4.7100, Sortino Ratio: 3.1700, Profit Factor: 1.4100, Risk-Adjusted Score: 0.8483, Max Drawdown: 0.0669, Drawdown Penalty: 0.8182, Daily Avg Trades: 2.36, Trade Frequency Score: 0.8501, Avg Trade Duration (min): 498.00, Duration Score: 0.9536, Final Fitness: 0.0046
