[2024-09-10 23:01:59] total_profit_usdt: 120.989, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 792, total_trades: 221.0
[2024-09-10 23:02:02] total_profit_usdt: 91.004, win_rate: 0.995, max_drawdown: 0.0, avg_profit: 0.98, avg_trade_duration: 892, total_trades: 197.0
[2024-09-10 23:02:04] total_profit_usdt: 64.321, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.11, avg_trade_duration: 859, total_trades: 203.0
[2024-09-10 23:02:04] total_profit_usdt: 85.218, win_rate: 0.9940000000000001, max_drawdown: 0.0002, avg_profit: 1.1, avg_trade_duration: 941, total_trades: 167.0
[2024-09-10 23:02:05] total_profit_usdt: 53.354, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.01, avg_trade_duration: 883, total_trades: 198.0
[2024-09-10 23:02:06] total_profit_usdt: 77.054, win_rate: 0.996, max_drawdown: 0.0, avg_profit: 1.03, avg_trade_duration: 746, total_trades: 235.0
[2024-09-10 23:02:08] total_profit_usdt: 110.171, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.14, avg_trade_duration: 805, total_trades: 214.0
[2024-09-10 23:02:08] total_profit_usdt: 72.763, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.05, avg_trade_duration: 768, total_trades: 227.0
[2024-09-10 23:02:48] total_profit_usdt: 120.989, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 792, total_trades: 221.0
[2024-09-10 23:02:49] total_profit_usdt: 107.495, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 849, total_trades: 206.0
[2024-09-10 23:02:50] total_profit_usdt: 120.989, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 792, total_trades: 221.0
[2024-09-10 23:02:50] total_profit_usdt: 131.411, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 792, total_trades: 221.0
[2024-09-10 23:02:51] total_profit_usdt: 82.39, win_rate: 0.995, max_drawdown: 0.0, avg_profit: 0.98, avg_trade_duration: 892, total_trades: 197.0
[2024-09-10 23:02:54] total_profit_usdt: 102.057, win_rate: 0.995, max_drawdown: 0.0, avg_profit: 1.04, avg_trade_duration: 887, total_trades: 199.0
[2024-09-10 23:02:54] total_profit_usdt: 75.501, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.02, avg_trade_duration: 976, total_trades: 179.0
[2024-09-10 23:02:55] total_profit_usdt: 105.03, win_rate: 0.995, max_drawdown: 0.0007000000000000001, avg_profit: 1.12, avg_trade_duration: 859, total_trades: 190.0
[2024-09-10 23:11:07] total_profit_usdt: 65.77, total_profit_percent: 1.0962, win_rate: 0.0, max_drawdown: 0.0, avg_profit: 0.94, avg_trade_duration: 908, total_trades: 192.0, sharpe_ratio: 71.75
[2024-09-10 23:11:07] total_profit_usdt: 80.079, total_profit_percent: 1.3347, win_rate: 0.0, max_drawdown: 0.0, avg_profit: 0.98, avg_trade_duration: 970, total_trades: 181.0, sharpe_ratio: 63.08
[2024-09-10 23:11:09] total_profit_usdt: 61.541, total_profit_percent: 1.0256999999999998, win_rate: 0.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 997, total_trades: 175.0, sharpe_ratio: 53.52
[2024-09-10 23:11:09] total_profit_usdt: 74.124, total_profit_percent: 1.2354, win_rate: 0.0, max_drawdown: 0.0, avg_profit: 1.15, avg_trade_duration: 1017, total_trades: 173.0, sharpe_ratio: 55.45
[2024-09-10 23:11:09] total_profit_usdt: 99.796, total_profit_percent: 1.6633000000000002, win_rate: 0.0, max_drawdown: 0.0, avg_profit: 1.08, avg_trade_duration: 847, total_trades: 207.0, sharpe_ratio: 58.55
[2024-09-10 23:11:10] total_profit_usdt: 90.759, total_profit_percent: 1.5126, win_rate: 0.0, max_drawdown: 0.0, avg_profit: 1.14, avg_trade_duration: 842, total_trades: 207.0, sharpe_ratio: 63.89
[2024-09-10 23:11:10] total_profit_usdt: 111.891, total_profit_percent: 1.8647999999999998, win_rate: 0.0, max_drawdown: 0.0, avg_profit: 1.08, avg_trade_duration: 837, total_trades: 203.0, sharpe_ratio: 65.18
[2024-09-10 23:11:11] total_profit_usdt: 66.824, total_profit_percent: 1.1137000000000001, win_rate: 0.0, max_drawdown: 0.0006, avg_profit: 1.05, avg_trade_duration: 657, total_trades: 267.0, sharpe_ratio: 79.12
[2024-09-10 23:11:50] total_profit_usdt: 69.03, total_profit_percent: 1.1505, win_rate: 0.995, max_drawdown: 0.0, avg_profit: 1.02, avg_trade_duration: 941, total_trades: 187.0, sharpe_ratio: 65.24
[2024-09-10 23:11:52] total_profit_usdt: 90.763, total_profit_percent: 1.5127000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.06, avg_trade_duration: 969, total_trades: 181.0, sharpe_ratio: 58.79
[2024-09-10 23:11:53] total_profit_usdt: 80.594, total_profit_percent: 1.3432, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.0, avg_trade_duration: 817, total_trades: 198.0, sharpe_ratio: 63.47
[2024-09-10 23:11:54] total_profit_usdt: 101.287, total_profit_percent: 1.6881, win_rate: 0.995, max_drawdown: 0.0002, avg_profit: 1.07, avg_trade_duration: 926, total_trades: 190.0, sharpe_ratio: 60.21
[2024-09-10 23:11:55] total_profit_usdt: 77.055, total_profit_percent: 1.2843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 925, total_trades: 187.0, sharpe_ratio: 63.16
[2024-09-10 23:11:55] total_profit_usdt: 113.058, total_profit_percent: 1.8843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 867, total_trades: 200.0, sharpe_ratio: 61.85
[2024-09-10 23:11:55] total_profit_usdt: 105.718, total_profit_percent: 1.7619999999999998, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 821, total_trades: 196.0, sharpe_ratio: 65.26
[2024-09-10 23:11:56] total_profit_usdt: 112.642, total_profit_percent: 1.8774000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 736, total_trades: 238.0, sharpe_ratio: 74.23
[2024-09-11 22:26:54] total_profit_usdt: 101.287, total_profit_percent: 1.6881, win_rate: 0.995, max_drawdown: 0.0002, avg_profit: 1.07, avg_trade_duration: 926, total_trades: 190.0, sharpe_ratio: 60.21, fitness: 255767.50684386597
[2024-09-11 22:26:54] total_profit_usdt: 112.642, total_profit_percent: 1.8774000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 736, total_trades: 238.0, sharpe_ratio: 74.23, fitness: 56424719.888347805
[2024-09-11 22:26:54] total_profit_usdt: 77.055, total_profit_percent: 1.2843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 925, total_trades: 187.0, sharpe_ratio: 63.16, fitness: 38630627.43297297
[2024-09-11 22:26:54] total_profit_usdt: 113.058, total_profit_percent: 1.8843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 867, total_trades: 200.0, sharpe_ratio: 61.85, fitness: 56632474.10683044
[2024-09-11 22:26:54] total_profit_usdt: 80.594, total_profit_percent: 1.3432, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.0, avg_trade_duration: 817, total_trades: 198.0, sharpe_ratio: 63.47, fitness: 40400166.87588248
[2024-09-11 22:26:54] total_profit_usdt: 105.718, total_profit_percent: 1.7619999999999998, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 821, total_trades: 196.0, sharpe_ratio: 65.26, fitness: 52962465.75232155
[2024-09-11 22:26:54] total_profit_usdt: 90.763, total_profit_percent: 1.5127000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.06, avg_trade_duration: 969, total_trades: 181.0, sharpe_ratio: 58.79, fitness: 45484679.059900925
[2024-09-11 22:26:54] total_profit_usdt: 69.03, total_profit_percent: 1.1505, win_rate: 0.995, max_drawdown: 0.0, avg_profit: 1.02, avg_trade_duration: 941, total_trades: 187.0, sharpe_ratio: 65.24, fitness: 34618076.86239106
[2024-09-11 22:29:41] total_profit_usdt: 112.642, total_profit_percent: 1.8774000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 736, total_trades: 238.0, sharpe_ratio: 74.23, fitness: 56424719.888347805
[2024-09-11 22:29:56] total_profit_usdt: 105.718, total_profit_percent: 1.7619999999999998, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 821, total_trades: 196.0, sharpe_ratio: 65.26, fitness: 52962465.75232155
[2024-09-11 22:31:19] total_profit_usdt: 101.287, total_profit_percent: 1.6881, win_rate: 0.995, max_drawdown: 0.0002, avg_profit: 1.07, avg_trade_duration: 926, total_trades: 190.0, sharpe_ratio: 60.21, fitness: 255767.50684386597
[2024-09-11 22:31:19] total_profit_usdt: 112.642, total_profit_percent: 1.8774000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 736, total_trades: 238.0, sharpe_ratio: 74.23, fitness: 56424719.888347805
[2024-09-11 22:31:19] total_profit_usdt: 77.055, total_profit_percent: 1.2843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 925, total_trades: 187.0, sharpe_ratio: 63.16, fitness: 38630627.43297297
[2024-09-11 22:31:19] total_profit_usdt: 113.058, total_profit_percent: 1.8843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 867, total_trades: 200.0, sharpe_ratio: 61.85, fitness: 56632474.10683044
[2024-09-11 22:31:19] total_profit_usdt: 80.594, total_profit_percent: 1.3432, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.0, avg_trade_duration: 817, total_trades: 198.0, sharpe_ratio: 63.47, fitness: 40400166.87588248
[2024-09-11 22:31:19] total_profit_usdt: 105.718, total_profit_percent: 1.7619999999999998, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 821, total_trades: 196.0, sharpe_ratio: 65.26, fitness: 52962465.75232155
[2024-09-11 22:31:19] total_profit_usdt: 90.763, total_profit_percent: 1.5127000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.06, avg_trade_duration: 969, total_trades: 181.0, sharpe_ratio: 58.79, fitness: 45484679.059900925
[2024-09-11 22:31:19] total_profit_usdt: 69.03, total_profit_percent: 1.1505, win_rate: 0.995, max_drawdown: 0.0, avg_profit: 1.02, avg_trade_duration: 941, total_trades: 187.0, sharpe_ratio: 65.24, fitness: 34618076.86239106
[2024-09-11 22:37:50] total_profit_usdt: 101.287, total_profit_percent: 1.6881, win_rate: 0.995, max_drawdown: 0.0002, avg_profit: 1.07, avg_trade_duration: 926, total_trades: 190.0, sharpe_ratio: 60.21, fitness: 255767.50684386597
[2024-09-11 22:37:50] total_profit_usdt: 112.642, total_profit_percent: 1.8774000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 736, total_trades: 238.0, sharpe_ratio: 74.23, fitness: 56424719.888347805
[2024-09-11 22:37:50] total_profit_usdt: 77.055, total_profit_percent: 1.2843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 925, total_trades: 187.0, sharpe_ratio: 63.16, fitness: 38630627.43297297
[2024-09-11 22:37:50] total_profit_usdt: 113.058, total_profit_percent: 1.8843, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.1, avg_trade_duration: 867, total_trades: 200.0, sharpe_ratio: 61.85, fitness: 56632474.10683044
[2024-09-11 22:37:50] total_profit_usdt: 80.594, total_profit_percent: 1.3432, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.0, avg_trade_duration: 817, total_trades: 198.0, sharpe_ratio: 63.47, fitness: 40400166.87588248
[2024-09-11 22:37:50] total_profit_usdt: 105.718, total_profit_percent: 1.7619999999999998, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.07, avg_trade_duration: 821, total_trades: 196.0, sharpe_ratio: 65.26, fitness: 52962465.75232155
[2024-09-11 22:37:50] total_profit_usdt: 90.763, total_profit_percent: 1.5127000000000002, win_rate: 1.0, max_drawdown: 0.0, avg_profit: 1.06, avg_trade_duration: 969, total_trades: 181.0, sharpe_ratio: 58.79, fitness: 45484679.059900925
