[2024-12-23 01:24:49] Strategy: GeneTrader_gen1_1734888146_8698, Timeframe: 5m, Generation: 1, Total Profit %: 0.6043, Profit Score: 0.2933, Win Rate: 0.9790, Win Rate Score: 0.6878, Sharpe Ratio: 30.8000, Sortino Ratio: 35.4800, Profit Factor: 8.6300, Risk-Adjusted Score: 0.9987, Max Drawdown: 0.0470, Drawdown Penalty: 0.8685, Daily Avg Trades: 2.76, Trade Frequency Score: 0.9338, Avg Trade Duration (min): 417.00, Duration Score: 0.9153, Final Fitness: 0.2017
[2024-12-23 01:24:53] Strategy: GeneTrader_gen1_1734888146_8410, Timeframe: 5m, Generation: 1, Total Profit %: 0.7127, Profit Score: 0.3420, Win Rate: 0.9850, Win Rate Score: 0.7006, Sharpe Ratio: 8.2600, Sortino Ratio: 0.0000, Profit Factor: 2.9800, Risk-Adjusted Score: 0.5515, Max Drawdown: 0.1733, Drawdown Penalty: 0.5946, Daily Avg Trades: 1.97, Trade Frequency Score: 0.7463, Avg Trade Duration (min): 721.00, Duration Score: 1.0000, Final Fitness: 0.2396
[2024-12-23 01:24:56] Strategy: GeneTrader_gen1_1734888146_4111, Timeframe: 5m, Generation: 1, Total Profit %: -0.3227, Profit Score: -0.1600, Win Rate: 0.9830, Win Rate Score: 0.6964, Sharpe Ratio: 0.0000, Sortino Ratio: 0.0000, Profit Factor: 0.5800, Risk-Adjusted Score: 0.0382, Max Drawdown: 0.5291, Drawdown Penalty: 0.2045, Daily Avg Trades: 1.76, Trade Frequency Score: 0.6849, Avg Trade Duration (min): 236.00, Duration Score: 0.7978, Final Fitness: -0.1114
[2024-12-23 01:25:10] Strategy: GeneTrader_gen1_1734888146_7317, Timeframe: 5m, Generation: 1, Total Profit %: -0.3813, Profit Score: -0.1884, Win Rate: 0.9740, Win Rate Score: 0.6770, Sharpe Ratio: 0.0000, Sortino Ratio: 0.0000, Profit Factor: 0.4700, Risk-Adjusted Score: 0.0311, Max Drawdown: 0.5382, Drawdown Penalty: 0.1990, Daily Avg Trades: 1.15, Trade Frequency Score: 0.5014, Avg Trade Duration (min): 635.00, Duration Score: 0.9931, Final Fitness: -0.1275
[2024-12-23 01:25:11] Strategy: GeneTrader_gen1_1734888146_4565, Timeframe: 5m, Generation: 1, Total Profit %: 0.2094, Profit Score: 0.1043, Win Rate: 0.9880, Win Rate Score: 0.7068, Sharpe Ratio: 2.4600, Sortino Ratio: 0.0000, Profit Factor: 1.4800, Risk-Adjusted Score: 0.4284, Max Drawdown: 0.2632, Drawdown Penalty: 0.4540, Daily Avg Trades: 2.53, Trade Frequency Score: 0.8890, Avg Trade Duration (min): 293.00, Duration Score: 0.8387, Final Fitness: 0.0737
[2024-12-23 01:25:38] Strategy: GeneTrader_gen1_1734888146_2013, Timeframe: 5m, Generation: 1, Total Profit %: -0.3393, Profit Score: -0.1680, Win Rate: 0.9890, Win Rate Score: 0.7089, Sharpe Ratio: 0.0000, Sortino Ratio: 0.0000, Profit Factor: 0.5100, Risk-Adjusted Score: 0.0337, Max Drawdown: 0.5116, Drawdown Penalty: 0.2155, Daily Avg Trades: 2.68, Trade Frequency Score: 0.9194, Avg Trade Duration (min): 362.00, Duration Score: 0.8837, Final Fitness: -0.1191
[2024-12-23 01:25:55] Strategy: GeneTrader_gen1_1734888146_8951, Timeframe: 5m, Generation: 1, Total Profit %: -0.1535, Profit Score: -0.0766, Win Rate: 0.9520, Win Rate Score: 0.6271, Sharpe Ratio: 0.0000, Sortino Ratio: 0.0000, Profit Factor: 0.8800, Risk-Adjusted Score: 0.0570, Max Drawdown: 0.4615, Drawdown Penalty: 0.2504, Daily Avg Trades: 8.50, Trade Frequency Score: 0.0439, Avg Trade Duration (min): 226.00, Duration Score: 0.7903, Final Fitness: -0.0480
[2024-12-23 01:26:47] Strategy: GeneTrader_gen1_1734888146_8562, Timeframe: 5m, Generation: 1, Total Profit %: -0.0183, Profit Score: -0.0091, Win Rate: 0.9840, Win Rate Score: 0.6985, Sharpe Ratio: 0.0000, Sortino Ratio: 0.0000, Profit Factor: 0.9800, Risk-Adjusted Score: 0.0631, Max Drawdown: 0.4274, Drawdown Penalty: 0.2774, Daily Avg Trades: 3.68, Trade Frequency Score: 0.9960, Avg Trade Duration (min): 617.00, Duration Score: 0.9898, Final Fitness: -0.0064
[2024-12-23 01:27:21] Strategy: GeneTrader_gen1_1734888289_6250, Timeframe: 5m, Generation: 1, Total Profit %: 0.2334, Profit Score: 0.1162, Win Rate: 0.9070, Win Rate Score: 0.5175, Sharpe Ratio: 11.1700, Sortino Ratio: 5.8900, Profit Factor: 1.4500, Risk-Adjusted Score: 0.8876, Max Drawdown: 0.0985, Drawdown Penalty: 0.7442, Daily Avg Trades: 6.29, Trade Frequency Score: 0.3779, Avg Trade Duration (min): 179.00, Duration Score: 0.7541, Final Fitness: 0.0601
[2024-12-23 01:27:41] Strategy: GeneTrader_gen1_1734888293_2918, Timeframe: 5m, Generation: 1, Total Profit %: -0.1486, Profit Score: -0.0742, Win Rate: 0.9770, Win Rate Score: 0.6835, Sharpe Ratio: 0.0000, Sortino Ratio: 0.0000, Profit Factor: 0.8200, Risk-Adjusted Score: 0.0533, Max Drawdown: 0.4903, Drawdown Penalty: 0.2297, Daily Avg Trades: 1.26, Trade Frequency Score: 0.5341, Avg Trade Duration (min): 260.00, Duration Score: 0.8154, Final Fitness: -0.0507
[2024-12-23 01:27:57] Strategy: GeneTrader_gen1_1734888311_9301, Timeframe: 5m, Generation: 1, Total Profit %: 0.7338, Profit Score: 0.3513, Win Rate: 1.0000, Win Rate Score: 0.7311, Sharpe Ratio: 52.1300, Sortino Ratio: 0.0000, Profit Factor: 0.0000, Risk-Adjusted Score: 0.4000, Max Drawdown: 0.0000, Drawdown Penalty: 1.0000, Daily Avg Trades: 2.94, Trade Frequency Score: 0.9616, Avg Trade Duration (min): 492.00, Duration Score: 0.9511, Final Fitness: 0.2568
