Generation,Max Fitness,Max Profit (%),Max Win Rate
1,3783.125191920522,1.1874,0.905
2,3822.8997781654944,0.9989,0.9059999999999999
3,3783.125191920522,0.8311,0.905
4,3783.125191920522,1.1347,0.905
5,7600.16078023593,0.6768000000000001,0.94
6,7600.16078023593,0.46840000000000004,0.94
7,12505.330800837104,0.4595,0.9670000000000001
8,12505.330800837104,0.4375,0.9670000000000001
9,12505.330800837104,0.3337,0.9670000000000001
10,12865.911497378647,0.33549999999999996,0.968
11,13151.398329621508,0.33649999999999997,0.9690000000000001
12,13151.398329621508,0.312,0.9690000000000001
13,13995.804698133832,0.312,0.971
14,13995.804698133832,0.3439,0.971
15,15207.121108352743,0.4314,0.9740000000000001
16,15632.26317924505,0.34159999999999996,0.976
17,15921.139211153099,0.39659999999999995,0.976
18,15910.092964967096,0.39659999999999995,0.976
19,15921.139211153099,0.374,0.976
20,15921.139211153099,0.4208,0.976
21,15921.139211153099,0.4208,0.976
22,15921.139211153099,0.3942,0.976
23,15921.139211153099,0.4378,0.976
24,15921.139211153099,0.47659999999999997,0.976
25,15921.139211153099,0.38079999999999997,0.976
26,15921.139211153099,0.43310000000000004,0.976
27,15921.139211153099,0.45990000000000003,0.976
28,15921.139211153099,0.48310000000000003,0.976
29,16260.806724623233,0.442,0.977
30,16260.806724623233,0.48310000000000003,0.977
