[2024-12-05 00:04:37] Strategy: GeneTrader_gen1_1733328216_1539, Timeframe: 5m, Generation: 1, Total Profit %: 0.3990, Profit Score: 0.1969, Win Rate: 0.9640, Win Rate Score: 0.6548, Sharpe Ratio: 52.5200, Sortino Ratio: 0.0000, Profit Factor: 14.6400, Risk-Adjusted Score: 0.6000, Max Drawdown: 0.0205, Drawdown Penalty: 0.9404, Daily Avg Trades: 2.15, Trade Frequency Score: 0.7963, Avg Trade Duration (min): 496.00, Duration Score: 0.9528, Final Fitness: 0.1289
[2024-12-05 00:04:46] Strategy: GeneTrader_gen1_1733328216_9856, Timeframe: 5m, Generation: 1, Total Profit %: 0.1768, Profit Score: 0.0882, Win Rate: 0.9130, Win Rate Score: 0.5325, Sharpe Ratio: 15.8800, Sortino Ratio: 19.1700, Profit Factor: 3.0900, Risk-Adjusted Score: 0.9548, Max Drawdown: 0.0489, Drawdown Penalty: 0.8636, Daily Avg Trades: 1.77, Trade Frequency Score: 0.6879, Avg Trade Duration (min): 745.00, Duration Score: 0.9994, Final Fitness: 0.0469
[2024-12-05 00:04:55] Strategy: GeneTrader_gen1_1733328216_9912, Timeframe: 5m, Generation: 1, Total Profit %: -0.0161, Profit Score: -0.0080, Win Rate: 0.8710, Win Rate Score: 0.4280, Sharpe Ratio: 0.0000, Sortino Ratio: 0.0000, Profit Factor: 0.9600, Risk-Adjusted Score: 0.0619, Max Drawdown: 0.1836, Drawdown Penalty: 0.5765, Daily Avg Trades: 4.77, Trade Frequency Score: 0.8174, Avg Trade Duration (min): 234.00, Duration Score: 0.7963, Final Fitness: -0.0034
[2024-12-05 00:05:20] Strategy: GeneTrader_gen1_1733328216_2917, Timeframe: 5m, Generation: 1, Total Profit %: 0.3894, Profit Score: 0.1923, Win Rate: 0.9790, Win Rate Score: 0.6878, Sharpe Ratio: 142.0100, Sortino Ratio: 33.4200, Profit Factor: 10.1800, Risk-Adjusted Score: 0.9995, Max Drawdown: 0.0296, Drawdown Penalty: 0.9150, Daily Avg Trades: 10.92, Trade Frequency Score: 0.0010, Avg Trade Duration (min): 306.00, Duration Score: 0.8476, Final Fitness: 0.1323
[2024-12-05 00:05:31] Strategy: GeneTrader_gen1_1733328216_4328, Timeframe: 5m, Generation: 1, Total Profit %: 0.3364, Profit Score: 0.1666, Win Rate: 0.8860, Win Rate Score: 0.4651, Sharpe Ratio: 18.0000, Sortino Ratio: 20.7900, Profit Factor: 3.1000, Risk-Adjusted Score: 0.9550, Max Drawdown: 0.0548, Drawdown Penalty: 0.8484, Daily Avg Trades: 2.69, Trade Frequency Score: 0.9213, Avg Trade Duration (min): 340.00, Duration Score: 0.8700, Final Fitness: 0.0775
[2024-12-05 00:07:20] Strategy: GeneTrader_gen1_1733328277_6339, Timeframe: 5m, Generation: 1, Total Profit %: 0.1479, Profit Score: 0.0738, Win Rate: 0.9090, Win Rate Score: 0.5225, Sharpe Ratio: 37.1500, Sortino Ratio: 15.0300, Profit Factor: 1.9200, Risk-Adjusted Score: 0.9130, Max Drawdown: 0.0491, Drawdown Penalty: 0.8630, Daily Avg Trades: 12.69, Trade Frequency Score: 0.0000, Avg Trade Duration (min): 249.00, Duration Score: 0.8074, Final Fitness: 0.0386
[2024-12-05 00:09:09] Strategy: GeneTrader_gen1_1733328440_1631, Timeframe: 5m, Generation: 1, Total Profit %: 0.3001, Profit Score: 0.1489, Win Rate: 0.9090, Win Rate Score: 0.5225, Sharpe Ratio: 47.3300, Sortino Ratio: 26.5100, Profit Factor: 3.7500, Risk-Adjusted Score: 0.9697, Max Drawdown: 0.0340, Drawdown Penalty: 0.9030, Daily Avg Trades: 5.08, Trade Frequency Score: 0.7319, Avg Trade Duration (min): 336.00, Duration Score: 0.8674, Final Fitness: 0.0778
[2024-12-05 00:09:09] Strategy: GeneTrader_gen1_1733328216_6233, Timeframe: 5m, Generation: 1, Total Profit %: 0.1885, Profit Score: 0.0940, Win Rate: 0.9600, Win Rate Score: 0.6457, Sharpe Ratio: 62.9800, Sortino Ratio: 24.7000, Profit Factor: 2.9200, Risk-Adjusted Score: 0.9500, Max Drawdown: 0.0754, Drawdown Penalty: 0.7976, Daily Avg Trades: 11.46, Trade Frequency Score: 0.0004, Avg Trade Duration (min): 426.00, Duration Score: 0.9200, Final Fitness: 0.0607
[2024-12-05 00:09:53] Strategy: GeneTrader_gen1_1733328320_8772, Timeframe: 5m, Generation: 1, Total Profit %: 0.2545, Profit Score: 0.1266, Win Rate: 0.9020, Win Rate Score: 0.5050, Sharpe Ratio: 61.6200, Sortino Ratio: 26.0000, Profit Factor: 2.0600, Risk-Adjusted Score: 0.9192, Max Drawdown: 0.0634, Drawdown Penalty: 0.8268, Daily Avg Trades: 18.00, Trade Frequency Score: 0.0000, Avg Trade Duration (min): 268.00, Duration Score: 0.8211, Final Fitness: 0.0639
[2024-12-05 00:09:57] Strategy: GeneTrader_gen1_1733328295_5809, Timeframe: 5m, Generation: 1, Total Profit %: 0.2399, Profit Score: 0.1194, Win Rate: 0.8960, Win Rate Score: 0.4900, Sharpe Ratio: 78.9300, Sortino Ratio: 41.5500, Profit Factor: 2.4200, Risk-Adjusted Score: 0.9335, Max Drawdown: 0.0300, Drawdown Penalty: 0.9139, Daily Avg Trades: 14.85, Trade Frequency Score: 0.0000, Avg Trade Duration (min): 272.00, Duration Score: 0.8240, Final Fitness: 0.0585
[2024-12-05 00:10:04] Strategy: GeneTrader_gen1_1733328549_1922, Timeframe: 5m, Generation: 1, Total Profit %: 0.1155, Profit Score: 0.0577, Win Rate: 0.9470, Win Rate Score: 0.6154, Sharpe Ratio: 27.5800, Sortino Ratio: 13.8100, Profit Factor: 3.1600, Risk-Adjusted Score: 0.9566, Max Drawdown: 0.0311, Drawdown Penalty: 0.9109, Daily Avg Trades: 4.38, Trade Frequency Score: 0.9077, Avg Trade Duration (min): 215.00, Duration Score: 0.7819, Final Fitness: 0.0355
